mu0 A1 A2 dim_unstable
1.99 -0.3642343567906063 -0.3642343567906063 1
2.0 -0.36514837167011077 -0.36514837167011077 1
2.01 -0.36606010435446257 -0.36606010435446257 1
2.02 -0.36696957185394363 -0.36696957185394363 1
2.03 -0.3678767909685705 -0.3678767909685705 1
2.04 -0.36878177829171555 -0.36878177829171555 1
2.05 -0.3696845502136472 -0.3696845502136472 1
2.06 -0.37058512292499457 -0.37058512292499457 1
2.07 -0.37148351242013417 -0.37148351242013417 1
2.08 -0.37237973450050516 -0.37237973450050516 1
2.09 -0.3732738047778511 -0.3732738047778511 1
2.1 -0.37416573867739417 -0.37416573867739417 1
2.11 -0.3750555514409388 -0.3750555514409388 1
2.12 -0.3759432581299116 -0.3759432581299116 1
2.13 -0.37682887362833545 -0.37682887362833545 1
2.14 -0.37771241264574124 -0.37771241264574124 1
2.15 -0.37859388972001823 -0.37859388972001823 1
2.16 -0.37947331922020555 -0.37947331922020555 1
2.17 -0.3803507153492243 -0.3803507153492243 1
2.18 -0.38122609214655456 -0.38122609214655456 1
2.19 -0.382099463490856 -0.382099463490856 1
2.2 -0.38297084310253526 -0.38297084310253526 1
2.21 -0.3838402445462608 -0.3838402445462608 1
2.22 -0.3847076812334269 -0.3847076812334269 1
2.23 -0.3855731664245668 -0.3855731664245668 1
2.24 -0.3864367132317184 -0.3864367132317184 1
2.25 -0.38729833462074165 -0.38729833462074165 1
2.26 -0.38815804341359034 -0.38815804341359034 1
2.27 -0.38901585229053753 -0.38901585229053753 1
2.28 -0.38987177379235854 -0.38987177379235854 1
2.29 -0.39072582032246944 -0.39072582032246944 1
2.3 -0.39157800414902433 -0.39157800414902433 1
2.31 -0.39242833740697164 -0.39242833740697164 1
2.32 -0.39327683210007 -0.39327683210007 1
2.33 -0.3941235001028654 -0.3941235001028654 1
2.34 -0.39496835316262996 -0.39496835316262996 1
2.35 -0.3958114029012639 -0.3958114029012639 1
2.36 -0.39665266081716044 -0.39665266081716044 1
2.37 -0.39749213828703583 -0.39749213828703583 1
2.38 -0.39832984656772413 -0.39832984656772413 1
2.39 -0.3991657967979388 -0.3991657967979388 1
2.4 -0.4 -0.4 1
2.41 -0.4008324670815311 -0.4008324670815311 1
2.42 -0.4016632088371218 -0.4016632088371218 1
2.43 -0.4024922359499622 -0.4024922359499622 1
2.44 -0.4033195589934447 -0.4033195589934447 1
2.45 -0.404145188432738 -0.404145188432738 1
2.46 -0.4049691346263317 -0.4049691346263317 1
2.47 -0.4057914078275521 -0.4057914078275521 1
2.48 -0.40661201818605086 -0.40661201818605086 1
2.49 -0.40743097574926723 -0.40743097574926723 1
2.5 -0.408248290463863 -0.408248290463863 1
2.51 -0.4090639721771319 -0.4090639721771319 1
2.52 -0.40987803063838396 -0.40987803063838396 1
